temperature,ph,dissolved_oxygen,salinity,water_color,mortality_count,feed_given,pond_age,disease_risk
31.9,7.8,2.1,14,Brown,25,89,80,High
34.7,9.5,7.7,28,Green,11,202,26,Moderate
30.0,8.0,5.1,24,Light Green,23,275,72,Healthy
31.5,9.2,4.4,17,Brown,32,286,42,High
31.5,6.8,4.6,7,Green,40,169,51,Moderate
25.1,9.5,3.9,23,Green,8,43,142,High
34.3,7.6,5.5,34,Brown,14,252,106,Moderate
25.4,6.6,5.3,29,Light Green,40,80,103,Moderate
28.9,8.2,5.8,6,Black,39,265,37,Moderate
25.8,8.0,4.2,35,Dark Green,10,244,54,Moderate
29.4,7.6,7.7,14,Dark Green,24,254,1,Moderate
29.2,8.5,6.4,27,Black,39,98,82,Moderate
31.2,7.7,7.5,12,Dark Green,34,271,114,Moderate
28.9,8.4,2.9,33,Black,24,29,137,High
26.5,8.1,3.1,6,Dark Green,7,131,150,Moderate
34.3,8.4,2.3,28,Black,8,99,1,High
28.9,8.7,7.6,18,Brown,3,96,24,Healthy
26.4,9.2,4.7,28,Green,11,164,9,Moderate
30.7,6.7,4.9,7,Light Green,5,106,26,Healthy
27.1,8.1,5.3,15,Black,19,128,20,Moderate
34.4,8.2,6.0,18,Brown,1,261,1,Healthy
30.0,7.2,4.8,30,Dark Green,34,163,137,Moderate
28.9,8.2,7.0,14,Black,28,106,20,Moderate
34.4,8.3,2.8,10,Black,32,107,94,High
33.9,9.1,5.0,16,Dark Green,29,162,77,High
25.1,7.8,2.6,17,Green,2,99,48,Moderate
34.3,6.6,5.5,21,Green,4,107,2,Moderate
30.6,6.5,5.6,8,Brown,14,148,60,Moderate
26.4,6.6,4.0,5,Light Green,24,150,52,Moderate
30.3,8.3,5.0,10,Green,34,148,16,Healthy
32.5,6.7,6.3,13,Brown,0,210,136,Moderate
34.0,8.2,4.1,33,Dark Green,0,293,130,Moderate
24.3,7.1,2.7,12,Black,10,134,96,High
25.9,8.1,7.9,32,Black,24,124,133,High
29.6,9.3,3.6,28,Green,21,270,108,High
24.5,7.0,5.5,17,Dark Green,15,155,62,Moderate
27.9,7.1,4.4,18,Green,6,210,74,Healthy
30.2,6.6,3.0,27,Light Green,7,291,44,Moderate
30.1,9.5,6.8,18,Green,15,138,71,Healthy
28.8,6.8,5.3,34,Brown,17,79,143,Moderate
24.8,7.9,3.3,33,Dark Green,33,154,139,High
34.8,7.2,2.6,33,Black,15,207,41,High
30.5,9.2,4.2,26,Light Green,12,67,98,Moderate
34.6,8.0,3.7,6,Brown,38,293,1,High
24.3,7.8,2.9,28,Dark Green,9,117,43,High
